詞語,字數
我們,49
在,24
國家,17
對,15
台灣,14
兩岸,14
也,14
年,13
這個,13
改革,12
我,12
是,11
人民,9
會,9
民主,9
讓,9
發展,8
要,8
新政府,8
係,8
就,8
和,8
推動,8
「,7
」,7
來,7
輕人,7
我要,7
之,7
以及,7
後,7
合作,7
轉型,6
有,6
和平,6
上,5
走,5
於,5
過去,5
積極,5
就是,5
為,5
跟,5
改變,5
了,5
希望,5
都,5
做出,5
堅定,5
計畫,5
及,5
現狀,5
投資,5
貢獻,5
社會,5
與,5
這些,5
從,5
幾個,4
經濟,4
一個,4
維持,4
進行,4
話,4
國際,4
月,4
國人,4
中,4
520,4
一起,4
區域,4
兩岸關,4
已經,4
等,4
共同,4
產業,4
政治,3
新,3
正在,3
制度,3
政府,3
態度,3
金,3
前進,3
地,3
著,3
巴拉圭,3
辦理,3
不會,3
互惠,3
所,3
協商,3
政策,3
這,3
路,3
而,3
呼籲,3
這是,3
中華民國,3
今天,3
謝謝,3
工作,3
大家,3
全體,3
機制,3
特別,3
長,3
議題,3
方面,3
創新,3
應該,3
多年,3
努力,3
基礎,3
家中,2
同時,2
需要,2
司法,2
照顧,2
手推,2
堅持,2
減少,2
不過,2
加強,2
決心,2
歷史,2
各種,2
角色,2
處理,2
因為,2
立場,2
最,2
用,2
承諾,2
不要,2
波折,2
國家將,2
手上,2
交流,2
作為,2
振興,2
提出,2
以,2
動能,2
更,2
到底,2
帶,2
1992,2
生活,2
安全,2
相關,2
坐下,2
退休,2
可以,2
建立,2
很,2
清楚,2
展開,2
好,2
機會,2
科技,2
經貿,2
中國大陸,2
關,2
重新,2
成長,2
方向,2
曾經,2
人,2
攜手,2
友邦,2
向,2
不是,2
不同,2
副,2
走過,2
巴拿馬,2
元首,2
對立,2
建構,2
多明尼加,2
兩個,2
脫胎,2
換骨,2
所有人,2
雙方,2
他,2
先生,2
前,2
因,2
而偉大,2
大會,2
全院,2
貴賓,2
路上,2
同胞,2
壓力,2
感謝,2
你,2
但,2
參與,2
陳,2
即使,2
職演,2
總統,2
處境,2
互助,2
啟動,2
有利於,2
住宅,2
這裡,2
負擔,2
領導,2
外交,2
正視,2
沒,2
事業,2
他們,2
優勢,1
致,1
充分利用,1
短區域,1
台灣將,1
以往,1
數位,1
扮演,1
落差,1
為縮,1
超過,1
所舉,1
辦,1
定位,1
電子,1
商務,1
力道,1
人才,1
誠摯,1
為區域,1
培育,1
經驗,1
領域,1
企業,1
疾病防治,1
代表,1
能源,1
上台,1
中小,1
效率,1
包括,1
醫療,1
願,1
婦女,1
賦權,1
支持,1
意在,1
灣人,1
農業,1
多邊,1
障礙,1
東南亞,1
搜救,1
紐西蘭,1
海事,1
亞及,1
澳大利,1
南亞,1
綱領,1
能量,1
能,1
防救,1
觀光,1
文化,1
值得,1
驕傲,1
未來將,1
教育,1
美國,1
成就,1
海上,1
擬定,1
亞太地區,1
時間,1
訓練,1
共識,1
以實際,1
行動,1
實質,1
國家的關,1
並尋找,1
這段,1
歐洲,1
並已,1
內,1
日本,1
南向,1
廣泛,1
討論,1
並透過,1
災害,1
朋友,1
建設,1
20,1
對岸,1
通常,1
現存,1
分歧,1
帶向,1
雙贏,1
未來,1
到現,1
過了,1
一百多天,1
許多,1
逐步,1
感謝林,1
行政,1
團隊,1
沒有,1
捷徑,1
把,1
冷靜,1
彈性,1
盡快,1
穩定關,1
當局,1
存在,1
事實,1
堅信,1
之間,1
來談,1
智慧,1
只要,1
福祉,1
什麼,1
談,1
人應,1
展現,1
走捷徑,1
真,1
樹立,1
真正,1
卡,1
提斯,1
告訴,1
比,1
想像,1
大,1
演講,1
這句,1
話獻給,1
任務,1
相信,1
祝,1
國家國,1
運昌隆,1
一切,1
時候,1
拜訪,1
六月,1
改,1
選擇,1
一步,1
一腳,1
印,1
務實,1
有錯,1
事情,1
今年,1
不必,1
憂讒畏,1
譏,1
想,1
這才,1
期待,1
可久,1
可長,1
進而,1
建設性,1
條例,1
其他,1
法律,1
事務,1
盡,1
最大,1
來維持,1
兩岸間,1
溝通,1
尊重,1
兩會會,1
談的歷,1
史事,1
實,1
主張,1
憲法,1
依據,1
未曾,1
預測,1
里程碑,1
再次,1
重申,1
具,1
一致性,1
可,1
且,1
一句,1
可持續,1
台海,1
不移,1
選民,1
說,1
每,1
珍惜,1
維護,1
跨國,1
基本,1
下,1
屈服,1
更不會,1
回,1
抗,1
老路,1
基,1
一致,1
願望,1
強調,1
更積極,1
意義,1
深化,1
前瞻,1
善意,1
仍然,1
累積,1
執政黨,1
形成,1
成果,1
並在,1
既有,1
持續,1
穩定,1
放下,1
起伏,1
包袱,1
良性,1
對話,1
造福,1
雖然,1
有些,1
活動,1
堅,1
多場,1
有人,1
到,1
費用,1
繳交,1
擔心,1
不用,1
相,1
問題,1
嚴肅,1
破產,1
可能,1
動托育,1
小朋友,1
照,1
動長,1
輩,1
創造,1
憂,1
有後顧,1
衝刺,1
輕人要,1
普及,1
變成,1
一樣,1
進國家,1
許多先,1
台灣會,1
萬戶,1
二十,1
八年,1
預計,1
老,1
付諸,1
流水,1
而且,1
一一,1
配套,1
修正,1
法規,1
期間,1
一段,1
2,1
+,1
5,1
研發為,1
經濟產業,1
之外,1
除了,1
真諦,1
正義的,1
多元,1
健康,1
給年,1
開始,1
嶄,1
給予,1
正義,1
道理,1
同樣,1
尊嚴,1
國民,1
每一個,1
保障,1
公平,1
八萬戶,1
之內,1
四年,1
生日,1
心目,1
全台灣,1
唱國歌,1
帶領,1
場,1
棒球,1
熟悉,1
離開,1
金鋒,1
國家慶典,1
莊嚴,1
來見證,1
僑胞,1
故鄉,1
回到,1
世界各地,1
還有,1
各國,1
遠道,1
國慶,1
一百零五,1
!,1
早安,1
及網,1
前面,1
電視機,1
現場,1
蘇嘉,1
主席,1
英雄,1
一天,1
著手,1
這麼,1
便,1
太沉重,1
太高,1
房價,1
憂慮,1
主軸,1
圍繞,1
每一項,1
提到,1
講中,1
責任,1
肩膀,1
現在,1
感念,1
抱持,1
心中,1
尖銳,1
認同,1
過國家,1
族群,1
統治,1
威權,1
敬意,1
最深,1
致上,1
犧牲,1
奉獻,1
經為,1
曾,1
目標,1
提高,1
義的,1
往前走,1
原則,1
踏實,1
秉持,1
上任,1
對國際,1
出去,1
追求,1
往,1
嚮,1
縮,1
絕不退,1
上繼續,1
將會,1
